WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (19208404.4082573 -5391796.77179093)",319700,Avonhead South,1.0252514,1.0252514,1563797.6314,5181095.70055,-43.52219969,172.55203263,19208404.4083,-5391796.77179
"POINT (19207383.35866 -5392844.16521637)",319800,Riccarton Racecourse,1.69210885,1.69210885,1563060.5411,5180334.0176,-43.52902176,172.54286039,19207383.3587,-5392844.16522
"POINT (19212596.7681852 -5388687.03763684)",319900,Bryndwr North,1.09070137,1.09070137,1566830.07315,5183361.3803,-43.50194025,172.58969325,19212596.7682,-5388687.03764
"POINT (19214510.8870534 -5387175.85253815)",320000,Northlands (Christchurch City),0.62903107,0.62903107,1568214.96925,5184461.74455,-43.49209266,172.60688807,19214510.8871,-5387175.85254
"POINT (19213759.300526 -5387900.06675722)",320100,Papanui West,1.0016985,1.0016985,1567671.58525,5183935.0036,-43.49681218,172.60013645,19213759.3005,-5387900.06676
"POINT (19210305.6303953 -5390429.8890633)",320200,Ilam North,1.23178205,1.23178205,1565172.7444,5182091.8772,-43.51329549,172.5691116,19210305.6304,-5390429.88906
"POINT (19204353.8551229 -5395231.33691114)",320300,Hornby West,0.74485748,0.74485748,1560871.50735,5178595.08595,-43.54456745,172.5156459,19204353.8551,-5395231.33691
"POINT (19206582.1956839 -5394409.82067143)",320400,Hornby Central,2.27022992,2.27022992,1562485.3059,5179198.4094,-43.53921804,172.53566342,19206582.1957,-5394409.82067
"POINT (19215827.3405221 -5386836.3922183)",320500,Northcote (Christchurch City),1.67620457,1.67620457,1569170.0271,5184711.8861,-43.48988035,172.61871397,19215827.3405,-5386836.39222
"POINT (19211918.8342715 -5390429.64643722)",320600,Jellie Park,1.31125296,1.31125296,1566344.0564,5182098.01585,-43.51329391,172.58360326,19211918.8343,-5390429.64644
"POINT (19209581.1909955 -5392131.42576397)",320700,Ilam South,0.91177469,0.91177469,1564653.21535,5180858.1589,-43.5243795,172.56260385,19209581.191,-5392131.42576
"POINT (19213338.1568904 -5389414.67482694)",320800,Bryndwr South,0.90574677,0.90574677,1567371.03405,5182837.47965,-43.5066813,172.59635325,19213338.1569,-5389414.67483
"POINT (19215421.0917323 -5388089.65035108)",320900,Papanui East,0.82838075,0.82838075,1568879.1389,5183803.49105,-43.49804758,172.61506457,19215421.0917,-5388089.65035
"POINT (19209003.7422864 -5393375.13800989)",321000,Sockburn North,1.23987082,1.23987082,1564238.80505,5179956.32175,-43.5324799,172.55741654,19209003.7423,-5393375.13801
"POINT (19206295.8720116 -5395803.72628613)",321100,Hornby South,1.36582244,1.36582244,1562283.1604,5178189.2392,-43.54829435,172.53309133,19206295.872,-5395803.72629
"POINT (19211324.5366903 -5391975.10185751)",321200,Ilam University,1.22716656,1.22716656,1565918.21655,5180977.77625,-43.52336127,172.57826459,19211324.5367,-5391975.10186
"POINT (19221291.1267575 -5384881.66896076)",321300,Prestons,3.98306526,3.98306526,1573133.05175,5186143.85215,-43.47713961,172.667796,19221291.1268,-5384881.66896
"POINT (19214717.770966 -5389558.67886883)",321400,Strowan,1.43506914,1.43506914,1568373.3415,5182738.0646,-43.50761954,172.60874654,19214717.771,-5389558.67887
"POINT (19213377.6677539 -5390815.68669777)",321500,Fendalton,0.92187577,0.92187577,1567404.6378,5181823.93295,-43.5158088,172.59670819,19213377.6678,-5390815.6867
"POINT (19222035.4533536 -5383439.59265965)",321600,Waitikiri,1.85081259,1.85081259,1573669.7326,5187190.0484,-43.46773853,172.6744824,19222035.4534,-5383439.59266
"POINT (19217995.7668876 -5387303.82009515)",321700,Mairehau North,2.21664748,2.21664748,1570746.5536,5184380.60365,-43.49292661,172.63819328,19217995.7669,-5387303.8201
"POINT (19211117.1930908 -5392905.65329337)",321800,Bush Inn,0.83923849,0.83923849,1565771.12115,5180303.8891,-43.52942223,172.576402,19211117.1931,-5392905.65329
"POINT (19206896.9326159 -5396484.42288261)",321900,Awatea North,1.02585862,1.02585862,1562722.0571,5177699.4808,-43.55272616,172.53849075,19206896.9326,-5396484.42288
"POINT (19210294.3419314 -5393784.98588501)",322000,Upper Riccarton,0.52083977,0.52083977,1565177.1209,5179664.80965,-43.53514903,172.5690102,19210294.3419,-5393784.98589
"POINT (19217140.1687993 -5388729.18787002)",322100,Malvern,0.99015235,0.99015235,1570129.69235,5183346.33485,-43.5022149,172.63050731,19217140.1688,-5388729.18787
"POINT (19216268.2612174 -5389387.47196252)",322200,Rutland,0.98659322,0.98659322,1569498.6629,5182867.1467,-43.50650406,172.62267483,19216268.2612,-5389387.47196
"POINT (19209681.5015285 -5395284.69792973)",322300,Sockburn South,2.48547608,2.48547608,1564738.0031,5178577.90305,-43.5449149,172.56350496,19209681.5015,-5395284.69793
"POINT (19213128.7245407 -5392185.61981872)",322400,Deans Bush,1.25176702,1.25176702,1567228.72325,5180832.00205,-43.52473249,172.59447189,19213128.7245,-5392185.61982
"POINT (19208484.7837706 -5395865.37795377)",322500,Wigram North,0.76776339,0.76776339,1563871.80375,5178153.3895,-43.54869576,172.55275466,19208484.7838,-5395865.37795
"POINT (19214680.2411269 -5391358.37339343)",322600,Holmwood,1.12946438,1.12946438,1568352.21675,5181435.83625,-43.519344,172.6084094,19214680.2411,-5391358.37339
"POINT (19211573.586814 -5393763.8347961)",322700,Wharenui,0.83895558,0.83895558,1566105.54085,5179684.85405,-43.53501129,172.58050185,19211573.5868,-5393763.8348
"POINT (19207993.5111621 -5396599.14678222)",322800,Wigram West,0.45878331,0.45878331,1563518.1915,5177620.8996,-43.55347306,172.54834148,19207993.5112,-5396599.14678
"POINT (19207461.4884164 -5397696.89449599)",322900,Awatea South,1.51060273,1.51060273,1563136.5143,5176825.1255,-43.56061939,172.54356224,19207461.4884,-5397696.8945
"POINT (19215871.7950609 -5390899.0803376)",323000,Merivale,1.10449674,1.10449674,1569215.771,5181772.13205,-43.51635206,172.61911331,19215871.7951,-5390899.08034
"POINT (19218797.0310047 -5388709.3792586)",323100,Mairehau South,1.38628176,1.38628176,1571332.8632,5183365.9033,-43.50208583,172.64539115,19218797.031,-5388709.37926
"POINT (19214489.2712449 -5392439.07351756)",323200,Mona Vale,0.54775174,0.54775174,1568217.26715,5180653.4034,-43.52638334,172.60669389,19214489.2712,-5392439.07352
"POINT (19212785.4239047 -5393630.64910551)",323300,Riccarton West,0.62257937,0.62257937,1566984.64105,5179785.56055,-43.53414393,172.59138797,19212785.4239,-5393630.64911
"POINT (19220084.6547793 -5388307.63516597)",323400,Shirley West,1.63066447,1.63066447,1572266.7537,5183660.54925,-43.49946804,172.65695807,19220084.6548,-5388307.63517
"POINT (19211886.2901205 -5394850.03558223)",323500,Middleton,1.90189507,1.90189507,1566336.44205,5178900.43885,-43.54208461,172.58331091,19211886.2901,-5394850.03558
"POINT (19208704.5142272 -5397045.16669648)",323600,Wigram South,0.39906993,0.39906993,1564035.82,5177301.2006,-43.55637675,172.55472853,19208704.5142,-5397045.1667
"POINT (19224559.7803301 -5384611.22658039)",323700,Queenspark,1.12074483,1.12074483,1575507.05415,5186348.69485,-43.47537667,172.69715881,19224559.7803,-5384611.22658
"POINT (19217895.3403853 -5389929.14527938)",323800,St Albans North,0.63715918,0.63715918,1570681.8906,5182480.4593,-43.5100332,172.63729113,19217895.3404,-5389929.14528
"POINT (19216937.1064601 -5390738.4553042)",323900,St Albans West,0.68131176,0.68131176,1569988.713,5181891.83765,-43.51530568,172.62868317,19216937.1065,-5390738.4553
"POINT (19223618.1652831 -5386180.23689768)",324000,Travis Wetlands,2.54935978,2.54935978,1574827.18665,5185210.36145,-43.48560388,172.68870014,19223618.1653,-5386180.2369
"POINT (19209504.2610024 -5396577.47910703)",324100,Wigram East,0.31243455,0.31243455,1564614.3043,5177642.4309,-43.55333199,172.56191278,19209504.261,-5396577.47911
"POINT (19213641.1454156 -5393082.91947146)",324200,Riccarton Central,0.39843525,0.39843525,1567603.8388,5180184.749,-43.53057675,172.59907505,19213641.1454,-5393082.91947
"POINT (19208119.2368416 -5399051.52484403)",324300,Oaklands West,1.69814976,1.69814976,1563619.02495,5175848.4657,-43.56943685,172.5494709,19208119.2368,-5399051.52484
"POINT (19213963.222405 -5393676.22827978)",324400,Riccarton South,0.5446627,0.5446627,1567839.67855,5179756.73965,-43.53444076,172.60196831,19213963.2224,-5393676.22828
"POINT (19207117.2747562 -5400616.8297218)",324500,Halswell West,6.36639314,6.36639314,1562898.4512,5174713.1044,-43.57962401,172.54047012,19207117.2748,-5400616.82972
"POINT (19221230.6862622 -5388147.66201379)",324600,Shirley East,1.69660977,1.69660977,1573098.5894,5183779.69795,-43.49842561,172.66725305,19221230.6863,-5388147.66201
"POINT (19209363.0018748 -5397524.98391986)",324700,Broken Run,0.42222058,0.42222058,1564515.4267,5176956.8418,-43.55950031,172.56064383,19209363.0019,-5397524.98392
"POINT (19217928.661477 -5391020.66361248)",324800,St Albans East,0.67550285,0.67550285,1570709.52495,5181690.8399,-43.5171441,172.63759046,19217928.6615,-5391020.66361
"POINT (19215949.6302841 -5393076.95663602)",324900,Hagley Park,2.18711156,2.18711156,1569279.4819,5180196.92895,-43.53053792,172.61981252,19215949.6303,-5393076.95664
"POINT (19211938.7127348 -5396543.37327251)",325000,Hillmorton,2.91693323,2.91693323,1566380.6153,5177676.16485,-43.55310995,172.58378183,19211938.7127,-5396543.37327
"POINT (19225774.0284107 -5385411.38598148)",325100,Parklands,1.80335402,1.80335402,1576391.27575,5185772.5842,-43.48059253,172.70806659,19225774.0284,-5385411.38598
"POINT (19214935.5255039 -5393370.89578609)",325200,Riccarton East,0.20811641,0.20811641,1568544.36685,5179980.91885,-43.53245227,172.61070266,19214935.5255,-5393370.89579
"POINT (19218982.6361898 -5390592.02127625)",325300,Edgeware,1.01462724,1.01462724,1571473.4292,5182004.2454,-43.51435173,172.64705847,19218982.6362,-5390592.02128
"POINT (19210106.6219544 -5398286.03605979)",325400,Aidanfield,1.68401322,1.68401322,1565057.8046,5176409.47885,-43.56445434,172.56732388,19210106.622,-5398286.03606
"POINT (19214628.2391721 -5394349.38440006)",325500,Tower Junction,1.07287164,1.07287164,1568324.65905,5179272.1806,-43.53882448,172.60794226,19214628.2392,-5394349.3844
"POINT (19223193.9054945 -5387707.08357348)",325600,Burwood,1.20976505,1.20976505,1574523.183,5184104.0964,-43.49555459,172.68488895,19223193.9055,-5387707.08357
"POINT (19217156.2648313 -5392657.51368863)",325700,Christchurch Central-West,0.69698551,0.69698551,1570153.9967,5180504.2686,-43.52780609,172.6306519,19217156.2648,-5392657.51369
"POINT (19218232.1873531 -5391967.36128793)",325800,Christchurch Central-North,0.77753402,0.77753402,1570932.85515,5181006.92515,-43.52331085,172.64031708,19218232.1874,-5391967.36129
"POINT (19220270.3574161 -5390380.06055122)",325900,Richmond North (Christchurch City),1.16647674,1.16647674,1572407.7702,5182161.5016,-43.51297088,172.65862627,19220270.3574,-5390380.06055
"POINT (19227042.6243323 -5385511.13757589)",326000,Waimairi Beach,0.58127409,0.58127409,1577313.116,5185703.54235,-43.48124273,172.71946258,19227042.6243,-5385511.13758
"POINT (19215260.1750774 -5395296.54914263)",326100,Addington West,0.55789684,0.55789684,1568786.4828,5178589.36145,-43.54499206,172.61361904,19215260.1751,-5395296.54914
"POINT (19224248.783149 -5388225.53026686)",326200,Otakaro-Avon River Corridor,6.13239842,6.13239842,1575290.7086,5183731.7511,-43.49893302,172.69436508,19224248.7831,-5388225.53027
"POINT (19209503.8386032 -5400075.27609121)",326300,Oaklands East,1.30062892,1.30062892,1564627.3224,5175113.85825,-43.57609972,172.56190899,19209503.8386,-5400075.27609
"POINT (19215713.3145436 -5394714.74510764)",326400,Addington North,0.43431408,0.43431408,1569113.3913,5179011.6188,-43.54120365,172.61768966,19215713.3145,-5394714.74511
"POINT (19221715.7059262 -5390117.16123378)",326500,Dallington,0.84120136,0.84120136,1573456.46125,5182355.9398,-43.51125813,172.67161006,19221715.7059,-5390117.16123
"POINT (19217753.4325046 -5393368.04177558)",326600,Christchurch Central,0.71393735,0.71393735,1570589.732,5179992.2441,-43.53243368,172.63601635,19217753.4325,-5393368.04178
"POINT (19212679.0374185 -5397694.88684765)",326700,Hoon Hay West,1.07523139,1.07523139,1566921.89655,5176846.2913,-43.56060632,172.59043228,19212679.0374,-5397694.88685
"POINT (19220008.1515763 -5391664.6708492)",326800,Richmond South (Christchurch City),0.80279751,0.80279751,1572221.22635,5181231.3435,-43.52133921,172.65627083,19220008.1516,-5391664.67085
"POINT (19214250.8709658 -5396525.55177513)",326900,Spreydon West,1.0269873,1.0269873,1568058.2584,5177697.23875,-43.55299393,172.6045523,19214250.871,-5396525.55178
"POINT (19218812.3247513 -5392812.08114749)",327000,Christchurch Central-East,0.71344676,0.71344676,1571356.6142,5180397.6941,-43.5288128,172.64552854,19218812.3248,-5392812.08115
"POINT (19218464.3789422 -5394247.13120139)",327100,Christchurch Central-South,1.250479,1.250479,1571108.505,5179358.6784,-43.53815861,172.64240289,19218464.3789,-5394247.1312
"POINT (19226518.4704244 -5387024.07951876)",327200,North Beach,1.98903797,1.98903797,1576936.08995,5184607.12805,-43.49110354,172.71475402,19226518.4704,-5387024.07952
"POINT (19211296.4064785 -5399744.81187288)",327300,Halswell North,2.60853722,2.60853722,1565926.30455,5175359.4386,-43.57394904,172.5780119,19211296.4065,-5399744.81187
"POINT (19216310.901401 -5395320.12958105)",327400,Addington East,0.56822363,0.56822363,1569549.07035,5178575.80885,-43.5451456,172.62305787,19216310.9014,-5395320.12958
"POINT (19224095.870373 -5389575.21888511)",327500,Avondale (Christchurch City),1.26092385,1.26092385,1575183.2583,5182754.66475,-43.50772731,172.69299144,19224095.8704,-5389575.21889
"POINT (19215985.9305893 -5396305.2636444)",327600,Spreydon North,1.21383804,1.21383804,1569316.49405,5177862.38745,-43.55155974,172.62013861,19215985.9306,-5396305.26364
"POINT (19213760.0479471 -5398336.65832061)",327700,Hoon Hay East,1.82288035,1.82288035,1567708.41305,5176386.15455,-43.56478385,172.60014316,19213760.0479,-5398336.65832
"POINT (19221599.615755 -5391985.25847728)",327800,Avonside,0.81030652,0.81030652,1573377.51865,5181004.10235,-43.52342743,172.6705672,19221599.6158,-5391985.25848
"POINT (19220314.8219348 -5392957.85431487)",327900,Linwood West,1.07759998,1.07759998,1572447.69735,5180296.8116,-43.52976222,172.6590257,19220314.8219,-5392957.85431
"POINT (19209879.3910003 -5402127.73835417)",328000,Halswell South,1.78085932,1.78085932,1564907.4788,5173631.99565,-43.58945552,172.56528263,19209879.391,-5402127.73835
"POINT (19217936.8925411 -5395083.8732818)",328100,Sydenham Central,1.21275693,1.21275693,1570728.302,5178751.90095,-43.54360725,172.6376644,19217936.8925,-5395083.87328
"POINT (19215229.4545604 -5397329.61567598)",328200,Spreydon South,0.72391644,0.72391644,1568771.02435,5177119.23025,-43.5582285,172.61334307,19215229.4546,-5397329.61568
"POINT (19226769.3168256 -5388755.38217619)",328300,Rawhiti,1.93513163,1.93513163,1577122.5505,5183354.78915,-43.50238558,172.71700742,19226769.3168,-5388755.38218
"POINT (19223743.1521291 -5391221.38301582)",328400,Wainoni,1.50391214,1.50391214,1574931.5732,5181562.6889,-43.51845163,172.68982292,19223743.1521,-5391221.38302
"POINT (19221783.3853834 -5392692.03387563)",328500,Linwood North,0.8574418,0.8574418,1573512.94175,5180493.37185,-43.52803092,172.67221803,19221783.3854,-5392692.03388
"POINT (19225468.6339404 -5390016.69310118)",328600,Aranui,1.41641589,1.41641589,1576181.2146,5182438.834,-43.51060358,172.70532318,19225468.6339,-5390016.6931
"POINT (19217436.3496473 -5396197.0342422)",328700,Sydenham West,0.48794081,0.48794081,1570368.6012,5177945.36945,-43.5508551,172.63316794,19217436.3496,-5396197.03424
"POINT (19219694.8835167 -5394743.11657629)",328800,Lancaster Park,1.11557726,1.11557726,1572003.0753,5179003.7622,-43.5413884,172.6534567,19219694.8835,-5394743.11658
"POINT (19220840.3715522 -5394047.64954238)",328900,Phillipstown,0.9334353,0.9334353,1572832.37,5179510.1414,-43.53685957,172.66374679,19220840.3716,-5394047.64954
"POINT (19211951.8896932 -5403236.36105779)",329000,Kennedys Bush,12.0059087,12.0059087,1566414.3935,5172838.6353,-43.59666832,172.5839002,19211951.8897,-5403236.36106
"POINT (19217028.412121 -5397486.10938518)",329100,Somerfield East,1.22917183,1.22917183,1570076.74315,5177012.03215,-43.55924724,172.62950338,19217028.4121,-5397486.10939
"POINT (19215886.8727215 -5398508.50349755)",329200,Somerfield West,1.18118116,1.18118116,1569251.9102,5176269.17205,-43.56590241,172.61924876,19215886.8727,-5398508.5035
"POINT (19222969.6342757 -5392932.89814533)",329300,Linwood East,0.91216529,0.91216529,1574374.70585,5180322.48525,-43.52959968,172.68287429,19222969.6343,-5392932.89815
"POINT (19218593.7646413 -5396149.34902685)",329400,Sydenham North,0.48343692,0.48343692,1571208.30595,5177983.5016,-43.55054464,172.64356518,19218593.7646,-5396149.34903
"POINT (19215032.5115571 -5399427.65533662)",329500,Hoon Hay South,0.79560345,0.79560345,1568635.22055,5175601.8922,-43.5718849,172.6115739,19215032.5116,-5399427.65534
"POINT (19220404.8099391 -5395016.50654488)",329600,Charleston (Christchurch City),0.36094657,0.36094657,1572519.10685,5178808.1818,-43.5431686,172.65983408,19220404.8099,-5395016.50654
"POINT (19218342.0455286 -5396806.15320656)",329700,Sydenham South,0.55360982,0.55360982,1571027.6992,5177507.81625,-43.55482073,172.64130395,19218342.0455,-5396806.15321
"POINT (19225464.5709112 -5391447.42241069)",329800,Bexley,0.89880765,0.89880765,1576181.9305,5181403.70485,-43.51992407,172.70528668,19225464.5709,-5391447.42241
"POINT (19219675.449477 -5396152.8784805)",329900,Waltham,0.58805464,0.58805464,1571993.22125,5177984.26795,-43.55056762,172.65328212,19219675.4495,-5396152.87848
"POINT (19214798.3968735 -5401409.7342642)",330000,Westmorland,5.55766468,5.55766468,1568472.13045,5174168.56485,-43.58478365,172.60947081,19214798.3969,-5401409.73426
"POINT (19222120.0137416 -5394671.20269648)",330100,Woolston North,1.29547608,1.29547608,1573762.88945,5179062.8719,-43.54092011,172.67524201,19222120.0137,-5394671.2027
"POINT (19228161.3156761 -5390489.69943838)",330200,New Brighton,1.76101194,1.76101194,1578137.51095,5182103.2402,-43.51368514,172.72951195,19228161.3157,-5390489.69944
"POINT (19216276.1800879 -5399750.86604406)",330300,Cashmere West,2.38611462,2.38611462,1569538.4077,5175372.42835,-43.57398844,172.62274596,19216276.1801,-5399750.86604
"POINT (19223058.4531343 -5394022.11865451)",330400,Bromley South,1.24298994,1.24298994,1574442.1737,5179534.92135,-43.53669331,172.68367216,19223058.4531,-5394022.11865
"POINT (19221349.017649 -5395752.00222473)",330500,Ensors,0.87364461,0.87364461,1573206.45845,5178279.0899,-43.54795758,172.66831604,19221349.0176,-5395752.00222
"POINT (19218511.3224744 -5398124.37387807)",330600,Beckenham,0.87656893,0.87656893,1571154.6173,5176555.31085,-43.56340204,172.64282459,19218511.3225,-5398124.37388
"POINT (19225576.5628284 -5393734.68431061)",330700,Bromley North,6.22879283,6.22879283,1576269.07755,5179749.5094,-43.53482145,172.70629272,19225576.5628,-5393734.68431
"POINT (19219750.4205627 -5397174.14530368)",330800,St Martins,1.04565949,1.04565949,1572050.6956,5177246.086,-43.5572164,172.6539556,19219750.4206,-5397174.1453
"POINT (19220650.8013999 -5396999.9329889)",330900,Opawa,0.81403259,0.81403259,1572703.45625,5177374.72835,-43.55608227,172.66204386,19220650.8014,-5396999.93299
"POINT (19222211.1896204 -5396314.26358974)",331000,Woolston West,0.51495272,0.51495272,1573833.68805,5177874.99575,-43.55161834,172.67606106,19222211.1896,-5396314.26359
"POINT (19223417.6021443 -5395872.38166255)",331100,Woolston East,1.27549921,1.27549921,1574707.8804,5178197.8631,-43.54874136,172.68689845,19223417.6021,-5395872.38166
